hvfhs_license_num,pickup_datetime,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee,week_number,base_fare,predicted_fare,series
HV0003,19/06/2025 10:42,1.58,712,14.46,0,0.36,1.27,0,0,3,9.41,N,N,N,N,N,0,25,14.46,13.95023918,test
HV0003,05/06/2025 18:58,3.87,1404,23.56,0,0.59,2.09,0,0,5.24,19.63,N,N,N,N,N,0,23,23.56,22.66095747,train
HV0003,15/06/2025 00:14,5.15,932,14.04,0,0.35,1.24,0,0,0,16.67,N,N,N,N,N,0,24,14.04,16.22156112,test
HV0005,06/06/2025 09:35,1.059,520,9.86,0,0.25,0.88,0,0,0,8.02,N,N,N,N,N,0,23,9.86,11.6232508,train
HV0003,05/06/2025 01:43,6.27,1300,27.13,0,0.64,2.41,2.75,0,0,24.92,N,N,N,N,Y,1.5,23,27.13,24.44583434,train
HV0005,28/06/2025 23:07,1.178,491,8.17,0,0.31,1.11,0,0,0,11.29,N,N,N,N,N,0,26,8.17,14.09611276,train
HV0003,22/06/2025 00:07,2.66,870,24.83,0,0.6,2.26,2.75,0,2,18.54,N,N,N,N,N,1.5,25,24.83,22.93780612,train
HV0003,01/06/2025 17:33,1.63,834,43.3,0,1.04,3.83,2.75,0,0,26.83,N,N,N,N,N,1.5,22,43.3,38.65143758,train
HV0003,21/06/2025 14:44,3.55,812,19.49,0,0.45,1.73,2.75,0,0,13.21,N,N,N,N,N,1.5,25,19.49,16.5921364,train
HV0005,17/06/2025 00:52,1.345,402,10.59,0,0.24,0.84,0,0,0,5.98,N,N,N,N,N,0,25,10.59,10.2886273,train
HV0003,11/06/2025 23:35,9.65,3018,27.22,0,0.64,2.4,0.75,0,0,20.06,Y,Y,N,N,N,1.5,24,27.22,22.72888706,train
HV0003,12/06/2025 14:55,3.69,1662,30.47,0,0.77,2.7,0,0,0,23.48,N,N,N,N,N,0,24,30.47,28.50051703,train
HV0003,03/06/2025 05:00,9.01,766,30.56,0,0.76,2.92,0,2.5,0,21.16,N,N,N,N,N,0,23,30.56,26.41151505,train
HV0003,08/06/2025 23:34,2.63,585,18.8,0,0.47,1.69,2.75,0,3.55,15.36,N,N,N,N,Y,0,23,18.8,17.53208057,train
HV0003,29/06/2025 20:01,2.51,689,16.59,0,0.37,1.48,0.75,0,0,7.54,Y,Y,N,N,N,1.5,26,16.59,12.57734197,train
HV0005,25/06/2025 07:22,6.667,1400,28.67,0,0.64,2.28,0,0,0,23.63,N,N,N,N,N,0,26,28.67,24.88512761,train
HV0003,02/06/2025 19:47,2.27,967,11.37,0,0.28,1.01,0,0,0,12.95,N,N,N,N,N,0,23,11.37,14.0068401,train
HV0003,13/06/2025 12:53,4.16,1254,15.34,0,0.37,1.31,0,0,0,19.52,N,N,N,N,N,0,24,15.34,17.57167338,train
HV0005,11/06/2025 19:19,4.855,1215,26.92,0,0.6,2.13,2.75,0,0,19.18,N,N,N,N,N,1.5,24,26.92,22.40994473,train
HV0003,11/06/2025 18:17,9.46,1731,66.73,0,1.77,6.3,2.75,0,0,35.56,N,N,N,N,N,0,24,66.73,64.29704963,test
HV0003,29/06/2025 23:02,14.52,1882,37.11,6.94,0.89,3.71,2.75,0,0,39.5,N,N,N,N,N,0,26,37.11,35.91101697,train
HV0003,25/06/2025 07:18,3.61,919,39.21,0,0.95,3.48,2.75,0,0,22.93,N,N,N,N,N,1.5,26,39.21,33.36526008,test
HV0003,11/06/2025 05:59,2.69,716,20.55,0,0.5,1.93,2.75,0,5.39,12.17,N,N,N,N,N,1.5,24,20.55,17.72542575,train
HV0005,14/06/2025 14:13,1.943,788,18.18,0,0.45,1.61,2.75,0,0,10.74,N,N,N,N,N,0,24,18.18,15.79226724,train
HV0003,05/06/2025 16:22,3.24,696,17.02,0,0.42,1.51,0,0,0,11.6,N,N,N,N,N,0,23,17.02,15.43327521,train
HV0003,29/06/2025 15:55,3.84,852,16.01,0,0.41,1.42,0,0,0,14.01,N,N,N,N,N,0,26,16.01,16.15652892,train
HV0003,27/06/2025 01:51,0.02,170,10.51,0,0.25,0.89,0,0,0,6.8,N,N,N,N,N,0,26,10.51,11.28219444,train
HV0005,28/06/2025 13:47,4.676,1178,22.81,0,0.57,2.03,2.75,0,0,18.56,N,N,N,N,N,1.5,26,22.81,21.15160873,train
HV0003,18/06/2025 17:17,1.47,595,18.59,0,0.47,1.67,0,0,0,9.5,N,N,N,N,N,0,25,18.59,15.69617508,train
HV0003,27/06/2025 17:43,1.52,510,8.38,0,0.2,0.73,0,0,0,7.3,N,N,N,N,N,0,26,8.38,10.19111951,train
HV0005,25/06/2025 06:07,1.187,556,10.45,0,0.26,0.93,0,0,0,7.31,N,N,N,N,N,0,26,10.45,11.32997918,train
HV0003,14/06/2025 21:47,4.18,1412,15.65,0,0.38,1.32,0,0,0,14.51,Y,Y,N,N,Y,0,24,15.65,15.08531841,test
HV0003,13/06/2025 21:35,3.68,1344,43.63,0,1.1,3.87,0,0,0,21.92,N,N,N,N,N,0,24,43.63,36.67089145,train
HV0003,20/06/2025 19:57,3.1,1319,13.6,0,0.34,1.21,0,0,0,13.24,Y,Y,N,N,N,0,25,13.6,14.94192789,train
HV0003,25/06/2025 10:40,0.92,678,12.19,0,0.26,1.04,2.75,0,0,8.12,N,N,N,N,N,1.5,26,12.19,11.88808537,train
HV0003,17/06/2025 17:32,1.63,659,16.31,0,0.41,1.58,2.75,0,0,18.63,N,N,N,N,N,1.5,25,16.31,18.89748074,train
HV0005,05/06/2025 13:22,30.424,8122,134.09,6.59,3.52,12.48,2.75,0,0,131.61,N,N,N,N,N,1.5,23,129.9,170.5514562,train
HV0003,07/06/2025 09:59,1.34,641,15.19,0,0.38,1.34,0,0,0,13.44,N,N,N,N,Y,0,23,15.19,15.5414416,train
HV0003,24/06/2025 19:07,3.96,1632,44.97,0,1.09,3.99,2.75,0,0,22.47,N,N,N,N,N,1.5,26,44.97,36.60655062,train
HV0003,02/06/2025 11:18,1.3,722,30.7,0,0.73,2.71,2.75,0,7.37,15.87,N,N,N,N,N,1.5,23,30.7,25.15176913,train
HV0003,09/06/2025 12:42,1.08,502,12.16,0,0.28,1.11,2.75,0,0,6.59,N,N,N,N,N,1.5,24,12.16,11.06608536,train
HV0003,19/06/2025 09:54,10.91,1939,44.11,6.94,1.14,4.77,2.75,0,0,34.98,N,N,N,N,N,1.5,25,44.11,42.65042767,train
HV0005,04/06/2025 09:51,2.261,1255,25.75,0,0.64,2.28,2.75,0,0,15.91,N,N,N,N,N,1.5,23,25.75,22.61352658,test
HV0005,27/06/2025 07:22,5.443,1004,24.71,0,0.62,2.19,2.75,0,0,18.4,N,N,N,N,N,0,26,24.71,22.41813665,train
HV0003,28/06/2025 07:29,14.87,1797,45.06,0,1.14,4.18,2.75,0,0,39.15,N,N,N,N,N,1.5,26,45.06,43.47381697,test
HV0003,13/06/2025 11:57,7.16,1482,23.43,0,0.59,2.09,0,0,0,25.07,N,N,N,N,N,0,24,23.43,24.14919825,train
HV0003,04/06/2025 10:01,3.1,2015,53.16,0,1.29,4.72,2.75,0,0,33.8,N,N,N,N,N,1.5,23,53.16,50.07324232,train
HV0005,22/06/2025 00:21,8.7,2338,35.43,0,0.89,3.14,2.75,0,0,36.01,N,N,N,N,N,1.5,25,35.43,36.11765496,train
HV0003,18/06/2025 08:19,6.82,1631,42.69,0,1.07,4.02,0,2.5,0,26.07,N,N,N,N,N,0,25,42.69,37.16943025,train
HV0003,03/06/2025 22:58,8.18,2181,57.36,16.06,1.39,0,0,0,0,36.92,N,N,N,N,N,1.5,23,57.36,52.39163579,train
HV0003,19/06/2025 18:36,0.87,492,10.06,0,0.21,0.89,2.75,0,0,6.86,N,N,N,N,Y,1.5,25,10.06,9.889752043,train
HV0003,27/06/2025 17:16,52.5,7317,208.29,32.11,5.53,0,0,0,0,163.8,N,N,N,N,N,0,26,129.9,170.5514562,train
HV0003,15/06/2025 23:37,15.91,1480,39.96,0,1,3.54,0,0,0,42.85,N,N,N,N,N,0,24,39.96,40.25057292,train
HV0003,29/06/2025 06:40,11.14,1735,44.66,16.06,1.11,0,0,0,0,37,N,N,N,N,N,1.5,26,44.66,42.3395576,train
HV0003,27/06/2025 17:56,25.23,4702,127.19,23,3.39,0,0,2.5,0,89.02,N,N,N,N,N,0,26,127.19,169.7593015,train
HV0003,29/06/2025 17:38,26.18,4265,96.03,6.94,2.4,9.37,0,2.5,0,84.15,N,N,N,N,N,0,26,96.03,113.5135214,train
HV0003,10/06/2025 05:45,1.67,588,12.98,0,0.29,1.15,2.75,0,0,8.28,N,N,N,N,N,1.5,24,12.98,12.27580144,train
HV0005,19/06/2025 23:08,1.68,582,11.08,0,0.13,0.48,0,0,0,8.28,N,N,N,N,N,0,25,11.08,9.741252736,train
HV0005,24/06/2025 23:14,0.982,486,22.72,0,0.57,2.02,2.75,0,0,12.34,N,N,N,N,N,1.5,26,22.72,19.74575953,train
HV0003,14/06/2025 19:30,3.79,752,15.22,0,0.38,1.35,0,0,0,12.95,N,N,N,N,N,0,24,15.22,15.3257948,train
HV0005,25/06/2025 11:45,13.226,5904,98.39,0,2.46,8.73,2.75,0,0,82.38,N,N,N,N,N,1.5,26,98.39,122.8616978,train
HV0005,12/06/2025 15:52,10.468,3198,61.46,6.77,1.71,6.05,0,0,19,47.22,N,N,N,N,N,0,24,61.46,68.16874839,train
HV0003,12/06/2025 09:14,11.05,1383,45.87,0,1.15,4.3,0,2.5,0,29.56,N,N,N,N,N,0,24,45.87,40.23349538,train
HV0005,08/06/2025 20:53,2.842,865,13.46,0,0.34,1.19,0,0,0,12.79,N,N,N,N,N,0,23,13.46,14.76192048,test
HV0003,25/06/2025 18:39,2.97,1148,62.65,0,1.62,5.91,2.75,0,0,32.76,N,N,N,N,N,1.5,26,62.65,60.85409689,train
HV0003,09/06/2025 11:30,3.63,1915,28.83,0,0.73,2.71,2.75,0,0,24.45,N,N,N,N,N,1.5,24,28.83,28.34649794,train
HV0003,04/06/2025 00:42,2.88,685,25.93,0,0.65,2.44,2.75,0,0,18.84,N,N,N,N,N,1.5,23,25.93,24.28078979,test
HV0003,01/06/2025 17:21,1.23,474,9.81,0,0.24,0.87,0,0,0,9.97,N,N,N,N,N,0,22,9.81,12.13062879,train
HV0005,16/06/2025 22:18,3.664,900,19.61,0,0.48,1.72,2.75,0,0,14.31,N,N,N,N,N,1.5,25,19.61,17.95859825,test
HV0003,26/06/2025 06:55,10.36,1671,44.5,6.94,1.08,4.56,2.75,0,8.97,31.48,N,N,N,N,N,1.5,26,44.5,39.3024889,train
HV0003,26/06/2025 22:23,1.37,470,15.28,0,0.37,1.31,0,0,0,7.41,N,N,N,N,N,0,26,15.28,12.95237478,test
HV0005,20/06/2025 21:25,4.846,1147,21.78,0,0.49,1.72,0,0,0,18.49,N,N,N,N,N,0,25,21.78,19.73438206,train
HV0005,04/06/2025 07:52,3.697,2209,33.97,3.07,0.92,3.26,2.75,0,5,29.11,N,N,N,N,N,1.5,23,33.97,35.65009443,train
HV0003,18/06/2025 19:35,2.72,1188,21.03,0,0.52,1.87,0,0,0,15.83,N,N,N,N,N,0,25,21.03,19.77283701,test
HV0003,29/06/2025 19:31,3.65,1402,16.83,0,0.45,1.6,0,0,0,16.97,Y,Y,N,N,N,0,26,16.83,18.39635163,train
HV0003,02/06/2025 21:39,2.74,605,18.74,0,0.43,1.67,2.75,0,0,13.97,N,N,N,N,N,1.5,23,18.74,17.09037868,test
HV0003,28/06/2025 18:39,9,1774,48.35,6.94,1.17,5.12,2.75,2.5,0,30.61,N,N,N,N,N,1.5,26,48.35,41.50400826,train
HV0003,16/06/2025 14:40,0.83,202,8.12,0,0.18,0.63,0,0,0,4,N,N,N,N,N,0,25,8.12,8.146367766,train
HV0003,25/06/2025 06:40,14.62,2274,66.97,0,1.76,6.46,0,2.5,0,51.82,N,N,N,N,Y,0,26,66.97,68.77978346,train
HV0003,16/06/2025 20:55,2.86,1256,21.07,0,0.52,1.88,0,0,10,16.7,N,N,N,N,N,0,25,21.07,20.13338217,train
HV0003,21/06/2025 10:54,1.13,397,9.35,0,0.19,0.69,0,0,0,6.59,N,N,N,N,N,0,25,9.35,9.872150541,train
HV0003,04/06/2025 22:24,6.15,1479,46.02,0,1.12,4.11,2.75,0,0,30.1,N,N,N,N,N,1.5,23,46.02,40.88094424,train
HV0003,05/06/2025 15:11,5.59,1869,28.67,0,0.72,2.54,0,0,0,26.75,N,N,N,N,N,0,23,28.67,28.02374618,train
HV0003,24/06/2025 12:48,1.27,524,12.57,0,0.31,1.11,0,0,0,7.06,N,N,N,N,N,0,26,12.57,11.72152482,train
HV0005,27/06/2025 13:29,6.368,2132,34.98,0,0.87,3.1,0,0,0,30.61,N,N,N,N,N,0,26,34.98,33.40895943,train
HV0003,04/06/2025 21:20,3.69,749,21.45,0,0.54,1.91,0,0,0,12.77,N,N,N,N,N,0,23,21.45,18.31834534,train
HV0003,02/06/2025 08:26,2.88,1963,25.62,0,0.61,2.19,0,0,0,24.12,N,N,N,N,N,0,23,25.62,25.47720644,test
HV0003,08/06/2025 17:01,1.95,629,12.76,0,0.32,1.13,0,0,0,9.09,N,N,N,N,N,0,23,12.76,12.73104294,train
HV0005,24/06/2025 17:25,2.987,1077,18.85,0,0.47,1.67,0,0,0,15.14,N,N,N,N,N,0,26,18.85,18.13720153,test
HV0003,14/06/2025 23:58,4.41,1608,35.34,0,0.9,3.33,2.75,0,0,27.68,N,N,N,N,N,1.5,24,35.34,33.78601014,train
HV0005,24/06/2025 17:33,1.965,842,33.02,0,0.77,2.75,2.75,0,0,13.82,N,N,N,N,N,1.5,26,33.02,23.99765378,train
HV0005,22/06/2025 23:15,3.409,1030,22.45,0,0.54,1.9,0,0,0,16.76,N,N,N,N,N,0,25,22.45,20.28239449,test
HV0003,25/06/2025 14:29,7.35,2735,32.18,0,0.79,2.83,0,0,0,37.97,N,N,N,N,N,0,26,32.18,33.6495459,train
HV0003,05/06/2025 18:54,0.99,335,8,0,0.2,0.71,0,0,0,4.77,N,N,N,N,N,0,23,8,8.971972943,train
HV0003,07/06/2025 10:48,3.01,851,15.52,0,0.37,1.33,0,0,0,12.84,N,N,N,N,N,0,23,15.52,15.32505249,train
HV0005,29/06/2025 02:20,15.739,1581,34.95,16.05,1.78,0,0,0,0,43.14,N,N,N,N,N,0,26,34.95,67.91941103,train
HV0003,23/06/2025 20:09,1.82,730,22.47,0,0.51,1.95,2.75,0,0,10.46,N,N,N,N,N,1.5,26,22.47,17.03184108,train
HV0003,25/06/2025 23:48,6.04,1453,40.65,0,0.96,3.58,2.75,0,0,26.95,N,N,N,N,N,1.5,26,40.65,34.71074472,train
HV0005,01/06/2025 03:31,3.291,695,20.42,0,0.51,1.81,2.75,0,0,13.03,N,N,N,N,Y,1.5,22,20.42,17.19150781,train
HV0005,24/06/2025 09:20,4.691,959,30.25,0,0.76,2.68,0,0,6.74,19.76,N,N,N,N,Y,0,26,30.25,25.17934238,train
